SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
101021007,35,79,53,69,93,177,105,238,37,888,0,12,9,11,3,12,9,31,0,81,0,0,0,0,0,0,0,0,0,0,0,7,9,7,3,0,0,5,0,30,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,16,0,0,3,4,0,0,0,0,0,11,3,20,13,9,15,6,0,3,0,74,3,17,7,6,5,3,0,10,0,58,0,3,5,3,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,10,0,3,3,0,0,3,0,0,0,12,0,0,0,0,3,3,3,0,0,9,0,6,9,7,5,14,8,7,0,50,4,3,3,3,0,0,0,0,0,22,8,3,16,10,36,22,10,6,0,109,3,10,13,14,8,10,11,10,0,93,5,15,14,29,15,15,6,4,0,103,4,5,5,3,3,3,0,3,0,20,0,3,3,0,3,6,0,3,0,28
101021008,53,138,85,116,500,549,279,367,59,2154,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,7,3,5,14,10,0,9,0,43,0,0,0,0,6,3,0,4,0,12,0,4,7,4,11,4,7,0,0,38,0,3,0,3,9,11,0,0,0,22,0,50,37,38,43,17,16,11,3,217,6,42,18,18,21,5,3,9,0,120,0,6,8,10,11,8,0,0,0,50,0,0,0,0,6,4,4,0,0,17,0,0,0,8,7,6,0,0,0,26,0,7,0,0,17,5,6,3,0,39,6,3,13,15,25,26,11,10,0,108,8,16,11,10,29,18,0,3,5,96,32,17,18,54,177,124,65,55,10,532,10,22,20,41,43,22,16,16,0,192,12,36,58,83,94,48,17,21,3,364,0,3,3,6,0,8,0,3,0,28,3,9,8,13,13,12,7,0,0,73
101021009,83,172,122,210,761,710,349,475,70,2947,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,8,3,11,3,5,6,0,44,3,0,3,3,3,8,0,3,0,20,0,9,3,10,12,9,9,5,0,53,0,3,5,0,14,7,0,0,0,33,9,40,42,46,79,31,25,17,0,288,3,47,32,35,32,13,11,12,3,177,0,4,3,6,11,4,8,5,0,37,0,3,3,6,12,7,0,3,0,38,7,0,0,3,13,15,8,6,0,52,3,0,0,3,7,7,10,6,0,39,6,15,12,18,40,37,14,17,0,159,0,9,17,25,19,13,3,3,0,95,40,15,30,64,201,152,81,59,8,652,15,24,22,31,62,29,23,35,0,239,33,42,66,103,169,60,17,32,3,531,3,12,4,12,16,3,3,4,0,44,3,14,11,4,20,10,0,3,0,73
101021010,32,63,76,99,346,332,178,262,21,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,4,3,0,26,0,0,3,0,0,0,0,0,0,3,0,5,0,3,3,7,0,3,0,27,0,0,3,0,0,3,3,0,0,14,9,27,15,16,35,13,7,9,0,133,0,27,14,13,17,16,7,9,0,106,0,0,0,3,3,6,3,0,0,16,0,0,0,3,5,7,0,3,0,11,0,0,3,0,6,3,0,3,0,15,0,3,0,0,8,11,4,0,0,26,0,3,6,8,19,16,10,8,0,73,0,4,7,5,11,4,0,3,0,41,21,6,19,24,97,75,39,29,3,312,4,16,10,10,21,26,8,16,0,111,14,24,24,39,59,36,16,16,5,231,0,3,0,0,3,0,0,0,0,15,0,3,3,3,8,5,4,5,0,33
101021011,176,286,172,247,776,1084,634,1085,80,4541,0,17,3,14,5,12,0,20,0,75,0,0,3,0,0,0,0,0,0,4,0,22,9,7,9,9,3,3,0,71,0,0,0,7,7,3,3,0,0,26,7,16,20,22,12,31,3,10,0,122,0,3,8,3,4,9,7,8,0,44,13,81,47,41,53,26,14,19,3,308,6,83,23,25,9,21,5,16,6,193,3,9,15,11,15,18,7,9,0,84,3,5,3,11,0,12,7,5,0,53,5,9,6,8,20,16,11,6,0,77,5,7,5,5,18,25,3,11,0,83,13,29,38,52,59,58,22,34,0,313,3,24,10,16,32,12,8,5,0,109,88,30,79,139,355,257,139,129,10,1226,45,67,55,68,85,83,48,58,6,506,42,54,68,116,137,100,53,44,0,615,3,22,17,8,14,6,6,9,0,79,8,23,18,26,25,17,12,10,5,148
101021012,106,262,131,159,684,880,530,843,40,3641,0,0,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,17,5,4,10,9,5,3,3,63,0,0,0,0,7,0,4,0,0,16,3,9,3,10,10,19,11,6,0,66,0,0,4,0,12,4,0,8,0,25,14,98,58,47,43,23,20,10,3,317,9,69,31,24,8,10,6,10,0,185,3,6,3,11,13,6,3,4,0,50,0,6,4,0,9,10,3,3,0,37,3,3,3,10,15,10,6,11,0,61,0,3,5,9,10,19,6,10,0,57,11,17,18,44,46,43,23,31,0,227,3,19,9,10,12,25,3,4,0,91,80,21,74,115,294,278,141,124,9,1135,9,56,55,58,65,50,37,62,5,411,15,47,65,83,107,81,37,32,0,477,3,9,3,6,5,3,4,4,0,46,3,17,19,21,29,32,16,10,0,138
101031013,20,38,31,30,85,87,88,202,14,591,3,14,8,11,4,3,9,22,3,72,0,0,0,0,0,0,0,0,0,0,3,7,4,0,9,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,3,0,4,3,13,18,11,12,6,3,5,0,59,0,15,6,8,3,4,0,4,0,39,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,21,0,3,4,3,0,6,0,0,0,22,0,9,7,0,11,4,0,0,0,33,3,5,11,12,3,7,7,9,0,62,0,9,15,22,13,14,4,12,0,85,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,12
101031014,54,120,96,124,310,287,144,304,36,1476,0,4,0,3,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,6,9,7,5,0,3,7,0,33,3,0,0,7,17,9,3,3,0,43,0,3,3,3,0,0,3,0,0,12,0,3,0,0,4,0,3,4,0,17,12,44,34,41,52,19,16,10,3,226,3,57,37,31,15,11,12,26,3,188,0,3,0,3,3,0,3,0,0,17,0,0,0,0,3,0,0,0,0,7,3,0,3,3,9,9,3,0,0,28,0,0,4,7,4,0,0,6,0,21,3,3,5,5,27,11,0,5,0,63,0,23,8,9,6,6,0,0,0,57,6,10,3,16,59,18,10,10,0,125,9,26,19,39,31,18,14,28,3,183,15,25,49,71,52,32,18,21,4,288,0,6,0,3,3,3,0,0,0,17,0,13,5,4,3,3,0,3,0,35
101031015,29,61,45,58,131,182,70,243,16,831,0,14,14,7,3,17,3,30,4,89,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,18,0,0,0,0,4,0,0,0,0,12,4,4,0,0,0,3,0,0,0,14,0,3,0,0,3,0,0,0,0,15,0,10,14,17,18,8,3,12,0,91,3,24,13,5,3,7,3,9,0,74,0,3,3,0,3,3,0,0,0,12,0,0,0,6,0,3,0,0,0,10,0,0,0,3,3,3,0,0,0,11,4,3,0,0,9,0,0,0,0,12,0,9,8,10,5,3,0,7,0,34,0,9,5,3,0,4,0,3,0,29,0,3,8,6,28,17,9,13,0,80,3,18,8,17,12,11,4,13,0,89,11,13,11,21,23,9,3,9,0,99,0,0,0,0,0,0,0,0,0,9,0,3,3,3,0,0,0,3,0,18
101031016,65,132,110,189,311,344,258,632,53,2093,0,3,12,8,3,9,3,25,3,67,0,0,0,0,0,0,0,0,0,3,0,5,4,4,3,7,3,3,0,31,0,0,0,0,4,0,4,0,0,8,0,9,6,10,7,3,0,3,0,28,0,4,4,3,3,7,3,0,0,27,6,31,12,24,24,22,22,21,0,166,5,43,40,66,51,45,50,106,8,419,3,4,3,5,7,7,0,5,4,39,0,4,0,0,0,8,0,0,0,11,0,4,0,3,4,9,3,0,0,27,3,9,6,4,4,6,12,14,0,56,5,3,10,7,12,11,9,8,0,73,5,15,11,17,8,10,4,9,4,91,5,4,13,21,37,10,8,11,3,114,7,27,14,31,34,31,24,29,3,203,13,22,40,30,17,29,5,22,3,181,6,13,14,19,36,16,27,40,3,171,3,0,8,10,8,8,0,8,0,46
101041017,46,138,127,148,261,248,120,196,26,1306,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,3,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,0,0,0,0,27,0,5,4,0,3,0,0,0,0,16,14,63,37,38,47,17,11,12,0,243,16,54,26,34,24,15,7,13,3,184,0,0,0,3,5,0,0,7,0,13,0,0,0,0,3,7,0,0,0,6,0,0,4,0,5,0,0,0,0,13,0,3,4,4,12,3,3,0,0,31,0,3,9,3,15,3,3,4,0,45,3,13,3,13,11,3,0,7,0,59,6,3,14,15,20,14,11,5,0,84,4,21,16,20,18,13,9,12,0,117,18,24,60,72,38,31,5,17,3,270,0,3,3,0,0,0,0,0,0,10,0,13,8,11,6,8,0,3,0,54
101041018,50,180,114,165,255,234,126,230,33,1383,0,3,3,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,4,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,10,0,6,0,31,0,0,3,4,0,3,0,0,0,10,9,72,40,49,36,10,12,17,7,242,10,70,37,34,14,12,0,13,0,179,0,4,0,0,3,3,0,0,0,16,4,3,0,0,4,3,0,0,0,13,0,0,3,3,5,3,0,3,0,22,3,0,0,3,8,8,3,3,0,38,3,3,5,8,15,12,4,6,0,57,0,19,8,10,16,3,0,0,0,61,6,3,8,18,36,13,5,9,0,107,6,28,28,21,21,20,15,26,0,166,20,39,72,73,68,40,17,17,3,352,0,8,4,3,4,0,0,0,0,22,4,16,14,9,3,8,3,3,3,62
101041019,71,160,127,161,354,361,191,293,34,1755,3,3,3,3,0,8,0,3,0,28,0,0,0,0,0,0,0,0,0,0,9,11,17,19,38,35,13,13,0,146,0,0,0,0,0,0,0,0,0,6,0,8,7,4,3,3,0,0,0,22,0,5,0,0,3,0,0,0,0,9,14,57,44,43,30,18,19,16,3,246,8,52,25,22,19,11,0,20,3,164,0,10,3,5,3,3,0,0,0,32,0,3,0,0,3,0,0,0,0,17,5,3,8,3,8,3,4,3,0,31,0,0,5,3,9,5,3,0,0,24,12,18,14,13,20,9,3,6,0,91,5,11,17,6,12,8,0,0,0,61,3,3,4,23,28,10,4,0,0,73,8,39,31,41,33,22,8,18,0,208,23,45,73,116,102,61,22,20,3,459,0,4,3,4,0,0,0,3,0,19,0,9,8,8,10,3,0,4,4,46
101041020,95,184,150,184,324,318,204,422,52,1935,8,25,18,35,7,22,4,44,4,173,0,0,0,0,0,0,0,0,0,0,3,14,10,10,15,19,13,12,0,97,0,0,3,0,0,0,0,0,0,8,0,7,5,3,6,3,0,4,0,38,0,3,0,6,5,0,3,3,0,22,14,54,31,48,26,17,9,7,3,213,8,66,24,25,14,6,9,15,3,164,3,3,6,6,3,3,0,0,0,32,0,3,0,3,5,0,0,0,0,10,0,0,5,3,13,3,3,0,0,29,0,6,4,0,4,3,0,0,0,22,9,12,13,13,15,6,3,7,0,74,3,17,15,11,10,4,0,3,0,59,3,5,8,9,23,12,8,6,3,91,6,43,26,38,18,24,11,31,5,204,16,51,74,113,62,38,26,20,0,399,0,9,9,5,0,4,0,0,0,30,0,15,11,10,13,5,3,3,0,50
101041021,19,56,51,67,113,141,64,101,12,614,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,4,3,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,18,14,12,15,5,4,3,0,84,3,28,11,9,5,4,3,9,0,77,0,0,3,0,0,0,0,0,0,11,0,0,3,0,5,0,0,0,0,12,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,4,0,0,0,12,0,8,6,4,4,3,0,3,0,25,0,8,7,7,3,0,0,0,0,21,5,3,3,6,22,7,3,0,0,49,0,15,10,11,21,11,8,14,0,91,7,22,33,36,30,19,5,3,0,153,0,3,3,0,0,0,0,0,0,9,0,8,3,4,5,0,0,0,0,23
101041022,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,17,52,46,59,106,102,63,143,17,599,3,3,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,3,3,3,0,0,0,13,4,25,17,20,16,3,3,6,0,94,4,37,9,12,8,0,3,12,0,89,0,3,0,5,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,8,0,4,3,7,3,7,3,0,0,25,3,17,6,7,4,0,0,0,0,39,3,0,0,4,3,3,0,0,0,18,4,6,9,19,12,3,4,5,0,60,8,7,13,25,11,11,3,8,0,94,0,3,0,3,3,0,0,0,0,11,0,3,4,3,4,0,3,0,0,23
101041024,27,71,62,84,123,140,54,114,14,696,0,7,5,5,3,7,5,9,0,43,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,3,3,0,20,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,27,16,17,14,9,7,3,0,93,7,33,18,16,8,11,3,8,0,91,0,0,5,3,0,0,0,3,0,10,0,0,0,0,5,0,0,0,0,6,3,3,0,0,0,3,0,3,0,12,0,4,0,0,0,0,0,0,0,5,3,5,7,3,8,0,3,3,0,36,0,7,6,11,3,0,0,0,0,31,5,3,10,5,23,6,4,9,0,58,8,24,7,19,8,4,4,10,0,78,3,20,40,30,15,15,3,6,0,140,0,0,0,0,0,6,0,3,0,12,0,3,4,10,4,3,0,3,0,30
101041025,85,210,144,198,398,380,224,374,37,2055,3,5,4,4,4,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,3,11,16,5,9,12,3,8,0,71,0,0,0,0,0,0,0,0,0,0,4,10,3,10,9,3,3,5,0,40,0,3,4,4,4,0,3,0,0,24,19,90,50,61,43,21,20,8,0,319,16,83,52,61,35,17,16,40,6,327,3,8,8,10,3,3,0,0,0,35,0,7,0,0,11,3,0,4,0,23,5,7,5,11,12,11,0,3,0,54,4,3,7,11,14,4,0,4,0,51,3,21,7,10,21,7,3,6,0,87,4,13,16,14,13,7,0,11,0,70,9,5,6,17,31,6,7,4,3,90,14,26,33,32,39,22,16,24,0,201,20,66,96,124,68,52,15,29,7,475,4,11,7,10,3,3,0,0,0,39,4,14,14,12,10,8,0,3,0,74
101041026,72,161,116,166,289,242,115,233,43,1445,0,3,3,0,3,5,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,6,7,3,3,4,0,3,0,19,0,0,0,4,0,0,0,0,0,10,0,8,3,3,3,8,0,4,0,25,0,5,0,0,3,0,0,0,0,10,8,56,39,38,18,13,13,7,4,198,4,59,20,15,8,9,5,15,0,129,0,9,3,3,5,6,3,4,0,27,0,3,3,10,18,3,0,0,0,36,0,0,4,7,0,6,0,0,0,31,0,3,3,5,7,9,0,0,0,25,3,15,7,21,17,6,0,7,0,72,4,21,10,9,4,5,0,4,3,65,4,7,23,21,40,12,8,4,3,118,6,33,24,23,26,17,16,19,3,167,26,46,81,91,70,31,8,17,4,367,0,3,7,0,0,0,3,3,0,17,0,10,3,4,8,3,0,3,0,40
101041027,55,189,144,177,233,238,124,232,39,1420,0,3,3,3,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,3,14,3,5,3,10,0,0,0,42,0,0,0,0,0,3,0,0,0,3,3,8,7,4,3,3,5,3,0,39,0,3,0,3,0,0,0,0,0,9,11,50,43,44,34,17,17,14,3,230,11,64,39,31,24,9,6,22,0,209,4,6,12,3,3,4,0,0,0,33,0,5,3,3,0,0,0,0,0,15,0,4,5,8,5,3,0,0,0,24,0,3,3,11,3,5,0,0,0,26,3,10,14,10,20,12,7,3,0,71,7,19,6,7,3,3,0,3,0,57,0,9,8,10,11,3,3,3,3,58,8,30,31,35,20,21,14,22,0,178,17,40,55,76,45,28,7,24,7,296,3,10,12,8,5,7,0,0,0,42,0,9,8,10,3,3,0,12,0,40
101051539,146,348,282,369,1218,1020,551,1020,106,5073,0,12,4,3,7,7,4,5,0,40,0,0,0,0,0,3,0,0,0,4,0,23,14,23,40,9,5,4,3,128,0,0,0,4,0,0,0,0,0,13,0,11,5,6,16,16,3,5,0,65,0,3,3,3,8,12,3,4,0,44,39,135,103,118,127,46,22,19,3,620,21,142,88,95,64,31,20,21,17,495,5,8,11,12,23,16,5,0,0,72,0,6,7,4,12,4,3,3,0,37,4,0,15,8,31,12,6,6,0,80,3,8,5,7,18,10,15,6,0,72,14,26,29,29,53,23,13,16,0,202,0,34,29,32,43,18,3,9,0,172,34,19,44,40,175,77,28,30,7,453,28,48,84,85,97,73,28,57,9,503,67,82,202,292,299,191,60,69,4,1263,3,22,3,12,14,7,0,7,0,62,3,28,27,33,34,17,8,11,0,168
101051540,95,207,170,235,495,651,276,907,72,3109,6,42,32,31,15,49,21,80,7,282,0,3,0,0,0,3,0,0,0,11,0,6,6,6,20,8,7,3,0,54,0,0,0,3,0,3,0,0,0,15,7,9,5,5,6,6,3,7,0,51,0,8,8,11,9,5,0,3,0,36,17,42,44,52,39,15,6,13,3,242,9,77,39,48,16,8,8,23,3,224,0,7,11,6,13,3,0,9,0,53,0,8,3,0,4,3,0,4,0,21,0,4,8,4,14,5,0,3,0,47,0,0,3,3,6,13,3,3,0,29,10,22,27,21,24,17,13,10,0,151,0,25,19,17,18,4,4,6,0,97,19,10,30,24,73,28,15,18,0,210,12,49,45,59,44,48,38,41,0,334,33,63,119,113,89,69,22,22,7,542,3,5,4,7,3,0,0,3,0,26,3,19,8,11,14,8,4,4,4,82
101061541,47,100,79,100,304,326,174,321,33,1492,0,8,0,6,3,4,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,3,0,7,8,3,3,4,0,3,0,29,0,0,0,0,3,0,0,3,0,9,3,27,29,26,34,5,10,7,0,145,9,44,25,20,14,8,3,13,5,151,0,0,3,3,5,3,3,4,0,20,0,0,3,0,3,0,0,0,0,9,0,0,4,0,13,3,0,0,0,25,0,3,0,3,3,4,0,4,0,22,6,6,12,19,25,27,6,9,0,112,3,9,7,6,3,3,3,3,0,38,29,12,15,20,69,45,20,10,0,223,11,29,23,35,25,26,17,31,0,206,23,32,53,73,75,35,12,18,0,323,0,11,0,0,3,0,3,0,0,20,0,11,9,9,8,3,8,0,0,50
101061542,107,217,154,219,485,702,365,805,79,3124,16,40,23,26,27,28,9,62,3,233,0,0,0,0,0,0,0,0,0,0,0,10,12,8,9,11,3,3,0,43,0,3,0,0,7,0,0,3,0,8,3,22,7,9,7,14,3,10,0,84,0,3,4,7,0,11,4,8,0,27,9,41,23,33,31,15,8,16,0,168,6,79,36,27,20,3,6,20,8,207,3,5,7,6,3,8,0,3,0,32,0,5,3,4,8,3,0,8,0,32,0,4,3,7,12,9,3,3,3,45,0,3,0,4,10,10,3,3,0,36,12,21,18,32,47,53,29,27,0,243,0,27,14,12,15,8,4,8,0,90,48,13,38,70,190,128,61,71,5,627,20,44,62,48,57,40,39,46,3,366,33,42,75,97,69,52,13,29,8,426,3,8,8,15,8,4,7,3,0,50,3,16,4,10,11,15,5,4,0,72
101061543,68,179,108,176,432,426,255,478,60,2190,7,12,14,19,9,9,14,18,0,99,0,0,0,0,3,0,3,0,0,9,3,14,8,19,13,11,3,7,0,77,0,0,0,0,3,3,0,0,0,5,6,17,8,11,6,4,0,6,0,49,0,6,3,4,14,4,7,0,0,34,18,97,52,63,63,22,20,21,3,354,7,46,37,39,16,16,6,10,5,180,4,15,10,5,4,4,3,0,0,40,0,0,0,3,11,0,3,0,0,23,3,5,9,7,29,10,0,0,0,65,0,0,4,8,4,5,0,0,0,16,0,12,10,18,19,11,5,8,0,85,3,16,10,14,9,12,4,0,4,72,0,0,7,9,30,9,8,5,0,66,4,34,36,44,43,27,3,39,0,233,24,31,76,109,66,57,18,33,0,422,0,6,0,7,3,3,0,0,0,15,8,22,10,6,17,7,6,4,0,83
101061544,48,107,85,102,265,303,175,555,52,1686,7,41,33,40,22,61,24,68,7,297,0,0,0,0,0,3,3,3,0,11,3,8,8,4,5,0,3,0,0,28,0,0,0,0,0,0,0,0,0,3,4,3,3,3,0,0,0,3,0,19,0,4,0,3,3,4,3,0,0,22,5,27,22,29,14,10,11,16,0,140,0,23,15,19,9,3,7,11,4,99,0,6,4,3,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,8,3,4,4,9,19,7,0,3,0,51,0,3,3,0,4,0,0,0,0,16,0,10,11,10,13,5,3,3,0,59,0,15,8,10,5,5,3,0,0,51,3,3,7,5,28,6,3,9,0,62,7,23,29,25,19,33,5,28,0,179,9,32,46,50,48,39,15,28,0,269,0,0,3,0,0,0,0,0,0,11,5,13,13,6,5,4,3,3,0,45
102011028,58,158,120,134,242,493,229,421,34,1883,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,6,7,10,11,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,15,6,16,4,8,0,0,0,54,0,0,7,5,6,6,3,4,0,23,3,56,43,18,23,13,4,10,0,170,4,76,28,23,6,15,5,7,0,170,0,3,4,0,3,3,0,4,0,16,3,5,3,0,3,3,0,0,0,24,3,3,4,11,5,11,6,4,0,50,0,5,5,7,12,5,3,3,0,43,3,22,22,22,22,23,8,10,0,135,3,13,14,7,4,6,3,9,0,61,7,9,9,13,25,17,3,7,0,92,13,40,49,47,33,52,15,33,4,290,13,52,109,91,51,52,22,19,5,420,0,12,0,6,0,3,0,0,0,38,0,15,10,7,7,5,0,0,0,55
