SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
601021007,64,201,104,178,527,573,286,403,25,2364,0,0,0,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,21,6,7,5,6,3,4,0,54,0,0,3,0,13,3,4,3,0,25,5,3,3,10,6,8,0,0,0,38,0,7,3,3,9,12,0,0,0,38,16,83,34,43,49,24,10,14,3,273,12,43,18,27,19,16,9,11,3,147,3,9,15,9,4,14,3,5,0,60,4,3,3,5,0,4,0,0,0,24,6,12,11,18,41,21,11,3,0,125,0,9,7,6,14,7,3,0,0,40,9,17,24,19,34,16,4,5,0,129,0,10,15,11,7,7,3,3,0,62,28,7,56,58,121,56,27,28,4,384,25,44,75,75,64,37,25,46,3,395,28,58,95,111,104,52,38,33,3,524,3,12,3,14,7,10,3,6,0,57,5,10,19,22,18,3,9,3,0,91
601021008,46,162,120,126,362,328,163,236,28,1571,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,4,7,0,4,4,3,0,27,0,3,3,7,6,3,0,0,0,27,0,4,3,3,3,8,0,3,0,26,0,3,0,3,3,0,0,0,0,15,14,53,37,13,27,15,5,8,0,179,3,38,19,12,17,6,0,5,3,105,0,0,0,0,3,3,5,3,0,17,0,5,4,5,8,10,0,3,0,39,0,3,3,10,20,11,0,0,0,43,0,3,0,0,8,9,0,0,0,28,0,10,7,12,18,11,5,13,0,80,0,13,5,7,11,9,0,0,0,49,13,8,27,39,62,31,15,14,0,210,19,29,43,46,45,33,21,33,3,271,29,37,77,95,69,32,13,19,0,367,0,13,3,0,8,4,0,3,0,41,3,20,16,4,9,8,0,4,0,62
601021009,32,79,57,93,240,196,88,88,22,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,17,0,0,0,3,4,0,0,0,0,10,0,3,0,0,0,3,0,0,0,3,0,0,0,0,4,0,3,0,0,8,7,35,17,21,25,10,0,3,3,130,3,30,12,11,10,6,3,3,5,89,0,3,5,0,7,3,3,0,0,25,0,3,0,0,8,0,3,0,0,14,3,0,4,6,11,0,3,0,0,27,0,0,0,0,12,0,3,3,0,17,0,6,7,6,11,4,0,3,0,31,0,16,11,10,8,8,0,3,0,54,3,3,6,16,38,15,3,4,0,100,5,14,11,20,13,9,8,4,0,83,11,24,36,63,45,14,8,16,4,232,0,6,0,0,0,0,0,0,0,9,0,4,9,13,15,4,3,0,0,44
601021010,14,25,21,60,114,105,70,44,3,462,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,14,12,14,16,7,4,3,0,87,3,19,13,5,4,0,0,0,0,51,0,0,0,0,0,0,3,4,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,11,10,8,5,0,0,3,0,38,3,0,0,5,13,3,0,0,0,30,0,0,5,11,10,0,0,0,0,28,7,9,26,29,20,9,3,11,0,118,0,0,0,3,0,0,0,0,0,10,0,4,0,4,3,0,0,0,0,11
601021011,25,74,55,93,282,275,122,121,29,1091,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,9,5,13,3,0,0,0,35,0,0,0,0,3,3,0,0,0,10,0,3,0,3,6,6,0,0,0,19,0,0,0,3,3,0,0,0,0,4,13,52,34,40,42,15,13,5,0,218,3,39,21,11,18,9,3,4,3,116,3,0,3,5,8,5,5,4,0,27,3,0,3,3,6,0,0,0,0,15,6,0,6,4,18,3,0,3,0,44,0,0,3,0,0,4,0,0,0,10,0,3,3,3,12,6,4,0,0,32,0,32,10,15,6,3,3,3,0,72,10,11,16,19,45,18,5,8,0,126,3,19,19,28,10,14,10,3,0,103,17,27,42,68,67,21,14,15,3,272,0,8,3,3,4,3,0,0,0,23,3,10,8,10,6,8,0,3,0,53
601021012,41,76,56,107,207,255,132,189,21,1083,0,5,3,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,3,3,4,3,3,0,0,23,0,0,0,0,3,0,4,0,0,9,0,6,4,3,0,5,0,0,0,16,0,4,0,0,0,0,0,0,0,11,8,33,24,24,22,9,3,0,0,122,4,37,11,3,3,5,4,5,0,66,0,0,0,6,0,4,0,0,0,17,3,0,3,0,4,0,0,0,0,11,4,0,3,5,9,3,0,0,0,26,0,0,0,3,5,3,0,3,0,17,3,10,8,7,13,9,0,9,0,58,4,10,5,3,4,3,0,0,0,32,10,6,13,26,43,16,4,10,4,133,9,18,32,30,27,24,14,17,0,161,15,23,61,57,33,22,10,11,0,233,0,3,0,0,0,3,0,0,0,14,0,3,10,9,10,12,4,3,0,43
601031013,31,90,43,72,271,235,122,148,16,1027,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,5,3,3,0,44,0,0,0,0,10,0,3,0,0,15,0,4,0,0,3,3,0,0,0,9,0,0,3,0,3,4,0,0,0,12,3,42,24,36,15,11,10,0,3,141,3,29,5,16,10,3,7,4,0,70,0,0,0,7,3,7,3,0,0,19,0,0,0,3,3,0,3,0,0,11,3,0,9,7,18,4,0,0,0,37,0,0,0,4,3,0,0,0,0,12,0,6,6,0,9,4,3,0,0,25,0,6,4,4,3,3,0,0,0,23,4,3,14,6,32,15,7,9,4,95,3,14,30,23,19,12,10,3,0,107,14,29,38,67,53,15,8,18,0,236,0,3,4,0,0,0,0,3,0,18,0,8,5,14,5,5,3,3,0,44
601031014,34,84,76,85,311,256,147,149,25,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,3,0,3,0,32,0,0,0,3,3,4,0,0,0,11,0,0,0,4,4,6,0,0,0,15,0,3,3,3,4,0,0,0,0,16,4,48,29,42,35,13,6,3,0,172,0,40,17,20,13,0,4,0,0,99,0,0,3,3,3,6,3,4,0,26,3,7,3,0,9,3,0,0,0,18,0,0,3,3,16,6,0,0,0,26,3,0,0,0,9,0,0,3,0,12,0,9,6,3,11,3,4,0,0,39,3,13,3,10,8,0,3,0,0,41,8,8,8,24,40,13,3,6,0,115,0,9,10,27,21,8,12,12,0,96,11,28,51,83,48,29,12,13,0,274,0,9,0,4,3,5,0,3,0,25,0,15,14,8,11,7,3,5,0,58
601031015,52,118,88,151,461,338,181,200,41,1643,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,3,7,26,8,4,3,0,62,0,0,3,3,9,3,3,0,0,20,0,9,4,3,3,8,3,0,0,35,0,3,3,4,5,0,0,0,0,20,11,63,42,46,48,24,13,6,0,255,4,47,20,13,15,5,9,0,4,121,5,3,7,4,12,3,4,0,0,41,0,3,0,4,9,3,0,0,0,15,6,0,3,8,15,0,0,0,0,43,0,5,4,0,4,0,0,0,0,15,4,7,3,9,10,8,3,3,0,38,3,26,14,14,13,9,0,0,3,77,12,4,13,30,59,17,6,7,3,152,6,14,31,23,28,12,12,4,3,130,22,47,61,112,82,38,12,24,3,403,3,3,3,0,9,0,0,0,0,20,3,11,6,6,13,9,0,3,0,49
601031016,18,69,77,90,212,203,116,118,25,928,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0,0,23,0,0,0,0,3,3,0,0,0,8,0,3,0,0,6,0,0,0,0,11,0,0,3,4,3,0,3,0,0,13,10,18,19,25,12,13,9,7,0,96,3,37,10,15,9,12,3,11,3,103,0,0,0,4,3,3,0,3,0,20,0,0,3,3,6,7,0,0,0,20,0,0,0,3,9,3,0,0,0,21,0,0,0,0,7,0,0,3,0,10,0,9,5,3,10,0,3,0,0,34,0,9,5,3,4,5,0,4,0,31,4,10,9,16,26,10,8,3,0,82,4,7,11,13,16,10,7,13,0,85,7,22,38,55,41,17,6,14,0,192,0,4,0,0,7,3,0,0,0,14,0,3,5,10,8,3,0,0,0,31
