SA2_MAINCODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,3,0,12,0,0,0,3,0,4,0,4,0,4,0,21,3,7,0,3,0,6,0,3,0,3,0,29,4,0,0,10,0,6,0,0,0,0,0,22,0,0,0,4,0,4,0,0,0,4,0,20,12,0,0,13,0,8,0,0,0,0,0,29,18,4,0,10,0,7,0,0,0,3,0,43,16,0,0,16,3,5,0,3,0,3,0,41,5,0,0,9,3,0,0,0,0,0,0,23,6,0,0,4,0,3,0,0,0,0,0,15,8,0,0,10,3,3,0,0
101021008,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,3,0,7,0,9,0,21,0,0,0,12,0,13,0,3,0,3,0,36,6,4,0,13,0,12,5,3,3,4,0,54,5,0,0,22,0,18,0,0,4,3,0,54,16,3,0,21,0,14,0,3,0,3,0,73,45,7,0,44,0,25,5,6,0,6,0,139,56,6,0,39,15,22,3,3,3,7,0,148,64,5,0,45,8,3,0,3,0,0,0,128,50,4,3,14,3,8,0,0,0,0,0,77,85,3,0,29,7,11,0,0
101021009,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,7,0,0,0,3,0,12,0,3,0,3,0,4,0,0,0,8,0,19,0,3,3,0,0,22,0,7,0,0,0,38,0,3,0,9,0,18,0,8,3,11,0,58,0,0,0,24,0,20,3,3,3,4,0,56,13,3,0,22,0,20,0,3,0,4,0,63,14,3,0,20,3,10,3,3,3,3,0,64,49,3,7,37,12,26,0,3,0,10,0,158,39,3,4,46,9,8,0,7,0,6,0,127,31,4,0,32,17,6,0,0,0,3,0,91,33,0,0,19,4,5,0,0,0,0,0,63,41,0,3,25,3,9,3,3
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,9,0,0,0,0,0,0,0,3,0,4,0,14,0,4,0,3,0,11,0,0,0,0,0,27,0,4,0,5,0,11,0,4,3,4,0,31,0,3,0,7,5,19,0,4,0,0,0,33,0,0,0,10,0,8,0,0,0,0,0,25,8,5,0,11,0,9,0,0,3,0,0,34,24,0,0,19,6,17,0,0,0,0,0,72,23,0,0,20,4,0,0,0,0,3,0,54,29,3,0,17,4,3,0,0,0,3,0,57,13,0,0,3,0,5,0,0,0,0,0,26,40,3,0,20,3,9,0,0
101021011,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,7,0,4,0,3,0,20,0,3,0,11,0,18,0,4,0,10,0,45,6,0,0,26,0,16,0,3,3,9,0,69,10,4,0,32,0,23,0,4,0,5,0,83,28,0,0,40,10,23,0,4,0,7,0,109,75,7,3,102,18,52,0,11,0,5,3,276,98,16,4,118,29,21,10,6,0,3,0,309,98,10,5,104,33,28,3,6,0,4,0,293,116,4,3,62,9,36,4,4,3,4,0,241,345,7,12,145,26,58,3,3
101021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,3,0,6,0,0,0,0,0,16,0,4,0,0,0,19,0,3,0,3,0,34,7,4,0,10,0,8,0,4,0,3,0,48,7,4,0,17,0,21,0,5,0,3,0,59,22,3,0,39,3,21,0,3,0,3,0,87,54,3,0,77,8,60,0,4,0,3,0,203,90,4,3,96,23,20,0,8,0,3,0,245,95,0,0,91,13,14,0,10,0,5,0,234,121,3,0,50,12,26,3,3,4,0,0,210,328,6,3,156,24,41,0,3
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,13,3,0,0,3,0,10,0,0,0,0,0,23,4,0,0,10,0,3,0,3,0,0,0,24,0,0,0,10,0,8,0,0,0,0,0,21,3,0,0,14,0,4,0,0,0,0,0,22,14,3,0,14,3,3,0,0,0,0,0,39,7,0,0,11,0,0,0,0,0,0,0,20,8,0,0,3,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,6,0,17,0,7,0,3,0,9,0,0,0,6,0,21,3,3,0,4,0,11,3,3,0,9,0,40,4,4,0,16,0,16,0,3,0,3,0,58,10,0,0,25,0,7,0,4,0,3,0,54,13,0,0,18,3,11,0,0,0,3,0,55,33,0,0,33,3,16,0,0,5,3,0,90,18,0,0,19,5,3,0,0,0,0,0,51,10,0,0,12,3,3,0,0,0,0,0,32,11,0,0,7,3,0,0,0,0,0,0,20,16,0,0,14,3,0,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,5,0,5,0,0,3,3,0,11,3,0,0,7,3,4,0,0,0,0,0,21,7,0,0,4,0,3,0,0,0,4,0,21,6,3,0,20,0,0,0,0,0,0,0,29,8,0,0,10,0,4,0,0,0,0,0,26,12,0,0,15,3,11,0,0,0,0,0,44,19,3,0,10,0,3,0,0,0,0,0,34,13,0,0,11,0,0,0,0,0,4,0,31,11,0,0,4,0,3,0,0,0,0,0,14,17,0,0,5,0,0,0,0
101031016,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,12,4,3,0,0,0,4,3,3,0,5,0,27,5,7,0,13,0,3,0,0,0,0,0,26,10,3,0,24,0,8,3,0,0,5,0,49,13,7,0,30,3,5,0,5,0,0,0,59,11,0,3,23,0,4,0,0,0,0,3,47,74,5,0,47,3,3,0,3,0,3,0,140,24,0,3,29,3,4,0,0,0,0,0,74,25,4,0,19,3,4,0,0,0,0,0,59,23,0,0,9,0,7,0,0,0,0,0,34,24,0,3,11,6,0,0,0
