SA2_MAINCODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
407021173,6,3,27,11,113,16,170,0,0,0,8,18,0,23,6,0,29,28,268,16,341,0,0,0,4,16,0,21,4,3,7,10,219,8,244,0,0,0,6,66,5,82,0,0,11,16,123,3,153,0,0,3,7,45,0,52,0,0,5,8,66,7,88,0,0,3,0,17,0,19,3,0,3,18,3,0,35,0,0,0,5,15,5,25,4,6,21,3,21,3,66,0,0,4,5,30,0,47,6,9,25,27,67,5,134,15,16,64,20,17,0,137,18,0,45,18,43,7,126,0,0,4,3,8,0,11,0,0,6,0,72,3,88,0,0,4,3,50,13,72,69,37,256,201,1277,94,1934,0,0,11,10,22,5,41,0,0,0,0,0,0,0,0,0,11,8,32,0,48,0,0,0,0,0,0,3,0,0,3,7,23,0,27,0,0,6,4,22,0,25,0,0,10,24,144,4,182,0,0,3,19
407021174,3,4,8,8,122,16,162,0,0,0,4,10,0,17,8,3,21,24,232,10,297,0,0,0,0,25,0,28,3,0,8,12,254,12,280,0,0,3,10,38,3,51,0,0,11,11,117,7,145,0,0,8,3,46,4,60,0,0,4,7,91,10,120,0,0,3,0,19,0,23,0,0,8,3,12,0,25,0,0,0,3,6,0,15,0,3,18,5,17,3,50,0,0,3,3,24,3,31,3,3,19,20,69,4,113,11,8,40,10,25,3,94,14,8,38,14,30,9,113,0,0,0,4,13,0,21,0,0,6,4,121,3,139,0,0,3,0,50,7,62,49,32,203,148,1317,100,1850,3,4,9,11,22,3,46,0,0,0,0,0,0,3,0,0,7,11,16,3,45,0,0,0,0,0,0,3,0,0,0,8,17,0,30,0,0,0,3,16,0,19,0,0,17,23,135,11,183,0,0,9,17
407031159,0,0,13,10,54,18,95,0,0,0,0,11,0,11,0,0,14,9,104,11,142,0,0,0,7,27,0,36,0,0,0,5,85,6,95,0,0,0,5,10,0,14,0,0,0,7,35,3,46,0,0,0,3,25,0,26,0,0,0,0,24,4,31,0,0,0,0,3,0,7,3,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,14,0,3,0,17,0,0,0,3,9,0,13,0,0,7,7,22,3,35,3,0,18,7,12,0,38,4,6,13,6,12,4,47,0,0,0,0,0,0,8,0,0,0,0,58,4,65,0,0,0,0,19,6,31,13,7,95,72,516,60,756,0,0,10,14,13,3,35,0,0,0,0,0,0,0,3,0,9,3,19,4,35,0,0,0,0,3,0,3,0,0,0,7,7,0,15,0,0,0,0,3,0,8,0,0,4,19,37,4,66,0,0,0,5
407031160,0,0,5,0,10,7,30,0,0,0,0,4,0,4,3,0,11,3,40,3,60,0,0,3,3,3,0,14,0,0,0,0,31,0,34,0,0,0,0,6,0,5,0,0,6,4,25,0,42,0,0,0,0,22,0,25,0,0,0,0,19,6,25,0,0,0,0,3,0,3,0,0,0,8,0,0,8,0,0,0,3,0,0,3,0,0,6,3,5,3,22,0,0,0,3,12,0,13,4,0,9,16,12,0,42,7,3,20,0,5,0,41,8,0,16,6,12,0,44,0,0,0,0,7,0,7,0,0,9,3,18,0,26,0,0,0,0,11,6,14,26,13,81,55,242,32,452,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,3,3,15,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,4,16,4,30,0,0,0,3
407031161,3,5,24,20,117,23,195,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,3,23,3,24,0,0,0,0,16,0,15,0,0,0,0,8,0,7,0,0,0,0,3,0,5,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,6,13,0,14,0,3,4,0,0,0,6,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,3,7,4,22,4,9,39,39,216,36,340,4,0,23,16,32,7,78,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,9,0,0,3,0,18,4,24,0,0,3,0
407031162,0,4,16,26,67,14,122,0,0,0,0,12,0,8,0,0,5,5,51,4,66,0,0,5,3,23,0,29,0,0,0,3,82,6,92,0,0,0,3,20,0,25,0,0,4,3,34,0,40,0,0,0,3,17,0,16,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,6,0,11,0,0,5,4,8,0,18,0,0,0,3,14,0,16,3,0,6,13,10,0,32,0,4,26,4,8,0,37,6,0,16,6,11,0,40,0,0,0,0,0,0,3,0,0,5,0,27,0,37,0,0,0,3,7,11,26,17,13,83,87,424,40,660,0,3,8,10,17,0,35,0,0,0,0,0,0,0,0,0,3,5,17,0,20,0,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,7,3,32,3,48,0,0,3,4
407031163,0,0,3,23,58,7,88,0,0,0,0,0,0,0,0,0,5,3,17,0,24,0,0,0,3,4,0,7,0,0,0,0,13,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,6,0,0,3,3,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,3,0,0,6,0,0,19,38,118,17,191,0,0,10,7,13,5,33,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,5,9,0,14,0,0,0,3
407031164,0,0,15,20,74,19,119,0,0,0,3,21,0,26,0,3,3,6,66,0,73,0,0,0,0,18,0,14,0,0,3,4,85,10,97,0,0,4,3,25,0,26,0,0,0,0,33,3,35,0,0,0,0,14,3,23,0,0,0,3,33,7,45,0,0,0,0,0,0,5,0,0,3,0,4,0,3,0,0,0,0,5,0,5,0,0,0,5,7,0,17,0,0,0,3,17,4,31,0,0,6,8,27,0,49,3,0,10,3,3,0,24,4,0,8,7,6,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,36,0,0,0,0,16,3,27,12,6,55,69,481,51,685,3,0,16,11,22,4,59,0,0,0,0,0,0,0,0,0,0,12,15,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,0,0,0,4,0,0,11,10,27,3,46,0,0,5,3
407031165,10,0,17,13,64,14,120,0,0,0,3,30,0,31,3,4,31,12,198,36,281,0,0,3,5,34,0,44,0,0,6,10,208,16,242,4,0,32,23,90,22,163,8,4,11,16,105,17,152,0,0,11,9,41,8,65,0,0,9,8,70,9,100,0,0,0,0,11,3,21,0,0,5,7,9,0,16,0,0,0,6,14,3,24,3,0,13,8,6,0,32,0,0,3,4,33,8,51,3,0,8,29,77,6,129,0,3,37,11,22,3,80,4,3,22,25,50,6,111,0,0,0,3,23,0,22,0,3,8,8,98,3,128,0,0,3,4,50,19,78,43,23,214,200,1223,168,1880,3,0,13,3,18,4,46,0,0,3,0,0,0,7,0,0,13,14,45,16,86,0,0,0,0,0,0,3,0,0,3,5,14,0,17,3,0,21,12,37,9,85,0,0,14,26,141,16,194,0,0,10,6
407031166,0,0,7,15,75,13,112,0,0,0,0,19,0,20,3,0,3,4,30,0,45,0,0,0,0,10,0,10,0,0,0,3,55,7,66,0,0,0,0,12,0,15,0,0,0,0,23,0,24,0,0,0,0,11,0,16,0,0,3,3,14,0,25,0,0,0,0,9,0,6,0,0,0,5,0,0,8,0,0,0,0,4,0,4,3,0,3,6,3,0,17,0,0,0,0,13,0,15,0,0,3,12,16,0,32,0,3,5,3,12,0,20,0,0,3,4,9,0,16,0,0,0,0,3,0,7,0,0,0,0,29,3,34,0,0,0,0,6,0,14,11,10,39,60,355,31,500,0,0,14,9,14,4,35,0,0,0,0,0,0,0,0,0,3,4,14,0,22,0,0,0,0,0,0,3,0,0,0,4,6,0,8,0,0,0,3,3,0,7,0,0,3,0,31,3,37,0,0,0,3
